label,sms
phishing,urgent: account compromised. pleas click link reset password: nobell.it/70ffb52d079109dca5664cce6f317373782/login.skype.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526
phishing,congratulations! prize. click link claim reward: www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php
phishing,packag readi delivery. click link track shipment: serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/
phishing,"account suspended. reactiv it, pleas click link enter login details: mail.printakid.com/www.online.americanexpress.com/index.html"
phishing,"account charg unauthor transaction. disput charge, click link below: thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824hdjndjdsjshd//2724782784/"
phishing,"detect unusu activ account. secur account, pleas click link updat information."
phishing,conduct survey would like offer reward participating. click link complet survey: smilesvoegol.servebbs.org/voegol.php
phishing,"bank account locked. unlock it, pleas click link enter login details: premierpaymentprocessing.com/includes/boleto-2via-07-2012.php"
phishing,"subscrib premium service. cancel subscription, click link enter details: myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php"
phishing,account flag suspici activity. pleas click link verifi ident unlock account: super1000.info/doc
phishing,select special offer. click link claim discount: horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b
phishing,"account select secur upgrade. updat secur settings, click link below: phlebolog.com.ua/libraries/joomla/results.php"
phishing,"email account expire. prevent this, click link updat account: docs.google.com/spreadsheet/viewform?formkey=de5rvedsv2pbdkpsry11v3o2eddwbnc6mq"
phishing,packag delayed. click link reschedul delivery: www.coincoele.com.br/scripts/smiles/?pt-br/paginas/default.aspx
phishing,"credit card use unauthor transaction. stop transaction, click link enter information: www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php"
phishing,private! 2003 account statement 07815296484 show 800 un-redeem s.i.m. points. call 08718738001 identifi code 41782 expir 18/11/04
phishing,free trip. click link claim prize: perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/
phishing,"account lock due suspici activity. unlock it, click link enter details: lingshc.com/old_aol.1.3/?login=&amp;lis=10&amp;ligertid=1993745&amp;us=1"
phishing,detect viru device. click link scan remov virus: anonymeidentity.net/remax./remax.htm
phishing,select particip research study. click link sign receiv reward: dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html
phishing,account select secur review. click link review account: www.avedeoiro.com/site/plugins/chase/
phishing,account select secur upgrade. click link updat account: asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/
phishing,notic suspici activ account. click link secur account: www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/
phishing,account expire. click link renew account: optimistic-pessimism.com/aoluserupdatealert.info.htm
phishing,randomli select prize. click link claim reward: mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/
phishing,notic unusu login attempt account. click link secur account: www.everythinggoingon.net/~gpeveryt/home/email/
phishing,account lock due suspici activity. click link unlock account: mercadolivre.com.br.premiosfidelidade2012.com.br/
phishing,account select secur update. click link updat account: www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/
phishing,select special offer. click link claim reward: jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php
phishing,notic unauthor activ account. click link verifi account.
phishing,packag delayed. click link track shipment: myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php
phishing,account compromised. click link secur account: tinyurl.com/bswqloj
phishing,select free trial. click link sign claim reward: stthomasedu.ucoz.ua/microsoft.htm
phishing,account lock due suspici activity. click link unlock account: westerncentermuseum.org/plugins/tmp/sp.php
phishing,detect secur issu account. click link resolv issue: portalsalinas.com.br/modules/mod_acepolls/spam.php
phishing,account inform need updated. click link updat information: lunatic-photography.opidum.de//wp-content/plugins/formulario.php
phishing,account flag suspici activity. click link verifi account.
phishing,notic unusu activ account. click link secur account: www.hoskoyu.net/images/aolmail.htm
phishing,"tkt euro2004 cup final 800 cash, collect call 09058099801"
phishing,pleas call 08712402972 immedi urgent messag wait you.
phishing,urgent 2nd attempt contact u. 900 prize yesterday still await collection. claim call 09061702893. acl03530150pm
phishing,congratulations! $1000 walmart gift card. go http://bit.ly/123456 claim now.
phishing,ir tax refund pend acceptance. must accept within 24 hours: http://bit.ly/ sdfsdf.
phishing,amazon send refund $32.64. pleas repli bank account rout number receiv refund.
phishing,"hello, fedex packag track code dz-8342-fy34 wait set deliveri preference: c4lrs.info/gm08s43vz1"
phishing,well fargo bank: account temporarili locked. pleas log http://goo.gl/2a234 secur account.
phishing,appl notification. appl icloud id expir today. log prevent delet http://apple.id/ user-auth/onlin
phishing,"((coinbase)) amount receiv 2.221 bitcoin btc ($18,421 usd) pleas confirm transaction: http://bit.do/ coinbase432194-53242"
phishing,"urgent grandson arrest last night mexico. need bail money immedi western union wire $9,500 http://goo.gl/ndf4g5"
phishing,feder credit union alert: credit card temporarili locked. pleas call card servic line (786) 319-4482
phishing,"thank recent amazon purchase. charg $108.34. mistake, pleas call (407) 438-4356."
phishing,hello. detect fraudul activ appl icloud sccount. reset password: www.123applesupport/1234ds.com
phishing,new craigslist buyer message: read use link: http://craigslist-alaskausa/1212.com
phishing,"receiv 3 bitcoin ($14,242 usd) account. regist accept transfer:https://bitcoinmine/232qq.com"
phishing,con-gratulations! claim free $100 gift-card: https:ggiftcard4u/2wp.com
phishing,paypal account suspend due suspici activity. pleas contact us immedi 1-409-123-457 ex. 1112 visit https://paypal.mobile/111222.com/txn?id-1112
phishing,"upgrad databas storag facil (nt06117) new better server. see qualiti free upgrade, pleas provid user name password."
phishing,"11th scholarship applic current open, regist start career tech pick new career path https:futureacademy.africa kindli share"
phishing,"elig govern fund $400.00 enegi bill rebate. complet application, visit: ofgem.secure-reg.com"
phishing,"hi alexandra, rosa@ sld regard resume. coupl question possibl schedul onlin interview. call 949-216-4123"
phishing,"david, came across packag may pend you. kindli claim ownership confirm deliveri here: www.iteshop.com."
phishing,"dear ben, bank america close bank account. pleas confirm pin www.hkboc.com keep account activated."
phishing,you’v prize! go www.amazon.com claim $500 amazon gift card.
phishing,"dear sam, at&t bill statement ready. pleas review send payment 26 may 2020 avoid overdu payment charge: https://atbilling.com."
phishing,ir tax refund pend acceptance. must accept within 24 hours: https://irs.com
phishing,"urgent grandson arrest last night mexico. need bail money immedi western union wire $9,500: www.westernuniov.com."
phishing,payme: sent 720 hkd gift. balanc use person uses. claim follow 3 step here: https://bit.ly/3yerhhk
phishing,card hold secur reasons. pleas log https://lezarck.com/en/ solv problem
phishing,hsbc: abl use account. activ new web secur system : https://butyl.co/5ro2
phishing,standard chartered: detect suspici activ account. pleas login onlin bank toverifi transact http://split.to/2k4i
phishing,"hsbc: possibl unauthoris transact card end 1234: fraudster co. hk. hkd 111.10 28-jan-2021 05:02 pm. made transact repli y, otherwis repli n"
phishing,hsbc: suspect fraud card. staff shortly. altern call 24 hour hotlin +852 22882519
phishing,someon came contact test posit shown symptom covid-19 & recommend self-isolate/get tested. https://covid19-info.online/
phishing,we'v detect possibl covid-19 case near neighborhood. check map find danger place aviod tomorrow: https://maps-covid.com
phishing,nhs: recent close contact someon test posit omicron. need book pcr test kit.
phishing,"hello george, fedex packag track code gb-6412-gh83 wait set deliveri preferences: d8erz.info/ulphzd7htz"
phishing,free ps5 here! best buy ps5contest! thank shop e=with us bestbuy give away 10 ps5's! click see one 10 lucki winners! continue832.com/izu0ww5
phishing,access standard charter account block due pend updat profile. login follow verif process. https://bit.ly/2k4i
phishing,packag wait delivery. pleas confirm settlement follow link https://bit.ly/3cb9xzd
phishing,"due covid-19 outbreak, citycouncil wish pay amount 372.8gbp atax refund. pleas visit rebataxes.com claim"
phishing,"hsbc: payment hkd$100,000 attempt mr c ying 25/06/2021. you, log-on cancel immedi via: hsbc.hk.transfer-ref72019.com"
phishing,"new recipi ad 12/06 16:25pm. you, follow secur link cancel www.is.gd/hsbc_cancel_paye"
phishing,new paye ad today. secur le account: hsbc.authpay.cc
phishing,verifi hsbc card activ weekli cash back bonu via follow link: https://bit.ly/3b2zvab
phishing,"hsbc: payment attempt new devic 13/04 14:47. you, pleas visit: https://www.hs-reverse-payee.com"
phishing,sent annual chargeback 400 hkd claim paymehk.com/400
phishing,secur key success transfer anoth device. click here: hsbc.hk-auth.com
phishing,flag account due unusu paye request. confirm cancel paye request click here: https://hsverify.mt.com
phishing,dear custom eur1.00 request paypal vec680 credit card authorised. call us +356 21483809 disagree.
phishing,"order mt621**** ready, pay ship cost shoild arriv 13/05/21: https://bit.ly/3ujvivu ticket id: otkymdc4mdq"
phishing,"hsbc payment fraud alert possibl unauthoris payment: refer $$$$, gbp 15.75, 09-oct-2021, 07:35 pm jane smith, pleas call payment fraud team 03452669337 (int +441407). pleas respond 8pm today payment may cancel"
phishing,"dear customer, pleas advis card temporarili block secur reasons. pleas use atm. call +356 21483809 details."
phishing,ship cost paid. pay visit: https://bit.ly/312jmkj paid packag return sender ticket id: otk5nje1mzg
phishing,"asda order delivery, visit https://mivesara.com/i/?6z0ykw2ymivl track order view deliveri note."
phishing,"dhl deliveri cancelled. line again, confirm https://redeemlnk.com/s3ahjud package: xs 128gb expire:12 hour"
phishing,packag dhl (epacket) transit. http://sosyalkeci.com/p.php?cj622huqnfmflo
phishing,we'r nearli there. click up-to-th minut track link ikea delivery. hxxp://shyne.xyz/dhl/?38x05yknzht10
phishing,good news! missguid parcel board delivery. track parce; https://justrips.com/dhl/?70od2l8lhudn
phishing,"dhl: parcel arriving, track here: http://sarkaritips.com/dhl/?q8idrptqepzi"
phishing,"free msg: bill paid march. thanks, here' littl gift you: cnwfz35.xyz/v53snvajun"
non-phishing,packag delivered. pleas check mailbox details.
non-phishing,"dear valu customer, we'r excit announc new product line available. visit websit inform take advantag special promot limit time. thank continu support."
non-phishing,"hi, remind [compani name] subscript set renew 3 days. pleas make sure payment inform date avoid interrupt servic"
non-phishing,thank choos [compani name] recent purchase. hope enjoy new product! pleas let us know question concerns.
non-phishing,"hello, messag [compani name] import updat account. pleas log account view message."
non-phishing,"hey there, [compani name]! want let know we'r run flash sale websit today only. miss out!"
non-phishing,good news! [compani name] releas new featur think love. check website.
non-phishing,we'r sorri hear troubl product. pleas repli messag contact custom support team [phone number] assistance.
non-phishing,"dear [custom name], thank recent purchas [compani name]. we'd love hear feedback! pleas take moment leav review website."
non-phishing,"hi, friendli remind store close renov next week. we'll reopen [date]. thank understanding!"
non-phishing,"hello, [compani name]! notic account overdue. pleas log account make payment contact bill depart [phone number]."
non-phishing,"hey there, we'r excit announc new store locat [address] open! come check receiv special discount first purchase."
non-phishing,"good news! custom appreci event happen weekend. stop store free samples, giveaways, more. can't wait see there!"
non-phishing,"hope great experi shop us. token appreciation, pleas use code [discount code] receiv 10% next purchase. thank choos [compani name]!"
non-phishing,"hello, messag [compani name] import updat regard account security. pleas log account review updat secur settings."
non-phishing,"hi [custom name], want let know order ship way! receiv within next 2-3 busi days. thank choos [compani name]."
non-phishing,"hey there, notic left item cart. miss favorites! use code [discount code] receiv free ship order."
non-phishing,thank interest [compani name]. we'v receiv applic touch soon regard next steps.
non-phishing,"hi, quick messag let know store hour changed. we'r open 9 7 pm monday friday, 10 6 pm weekends."
non-phishing,"dear [custom name], special offer you! use code [discount code] receiv 20% next purchase. offer expir 24 hours, wait!"
non-phishing,"hey there, quick messag let know we'r offer free ship orders. shop websit enjoy conveni free delivery!"
non-phishing,"hello, [compani name]! we'r excit announc upcom webinar [topic]. regist learn expert gain valuabl insight business."
non-phishing,"hi, messag [compani name] import secur update. pleas log account updat password keep account secure."
non-phishing,good news! we'v extend sale one day. miss chanc save big products. shop website.
non-phishing,"dear [custom name], thank loyal custom [compani name]. show appreciation, we'r offer free gift next purchase. use code [gift code] checkout claim gift."
non-phishing,"good news! we'v launch mobil app, make easier ever shop us. download app store googl play enjoy exclus discounts."
non-phishing,"hey there, [compani name]! we'r excit announc new partnership [partner compani name]. check websit detail special offers."
non-phishing,"dear [custom name], we'r sorri hear troubl product. pleas repli messag contact custom support team [phone number] assistance."
non-phishing,"hi, remind annual confer come two weeks. regist secur spot network profession industry."
non-phishing,"hey, quick messag let know we'r offer new servic think love. check website!"
non-phishing,"dear [custom name], thank recent purchas [compani name]. we'd love hear feedback! pleas take moment leav review website."
non-phishing,"hello, [compani name]! quick messag remind appoint us come soon. pleas repli messag confirm reschedule."
non-phishing,"hi, messag [compani name] import updat busi hours. start next week, store open 10am 8pm everi day."
non-phishing,"hey there, [compani name]! we'r excit announc new loyalti program. earn point everi purchas redeem exclus rewards."
non-phishing,good news! we'v ad new product line think love. check websit receiv special discount first purchase.
non-phishing,"dear [custom name], notic left item cart website. special offer, we'r offer free ship order complet purchas today."
non-phishing,"dear [citizen name], messag local government. due recent increas covid-19 cases, urg practic social distancing, wear mask public, wash hand frequently. together, slow spread keep commun safe. information, pleas visit websit contact health depart [phone number]."
non-phishing,"hello, citi government. want let know road construct take place main street start next week. pleas plan commut accordingli awar detour road closures. thank patienc work improv infrastructure."
non-phishing,"hey there, state government. we'r excit announc earli vote upcom elect start tomorrow. visit websit find poll locat hour operation. vote matters, pleas make sure cast ballot!"
non-phishing,"dear customer, packag track number [track number] ship way. track package' progress websit click link [track link]. pleas note deliveri time may vari depend destin local custom clearance. thank choos sf express ship needs."
non-phishing,"hi, sf express. packag arriv warehous process delivery. notifi packag delivery. question concerns, pleas contact custom servic team [phone number]. thank choos sf express."
non-phishing,"hello, sf express. attempt deliv packag one avail receiv it. pleas repli messag schedul new deliveri time provid us altern deliveri address. hear back within 24 hours, packag return sender. thank choos sf express."
non-phishing,"dear customer, packag deliv sign [recipi name]. thank choos sf express ship needs."
non-phishing,"hi, sf express. regret inform packag delay due unforeseen circumstances. apolog inconveni provid updat soon possible."
non-phishing,"hello, sf express. packag current held custom inspection. pleas patient process may take time. keep updat statu package."
non-phishing,"dear customer, we'r sorri inform packag damag transit. initi claim touch instructions. thank understanding."
non-phishing,"hi there, sf express. notic packag sit warehous time. pleas repli messag confirm still want us deliv it, would like cancel shipment receiv refund."
non-phishing,"hello, sf express. packag current deliveri arriv within next hours. pleas ensur someon avail receiv it. thank choos sf express."
non-phishing,"dear customer, packag local deliveri center deliv within next 24 hours. pleas ensur someon avail receiv it. thank choos sf express."
non-phishing,"hi, sf express. attempt deliv packag unabl address incomplete. pleas repli messag correct address complet delivery. thank you."
non-phishing,"hello, sf express. regret inform packag lost transit. initi investig keep updat progress. apolog inconveni appreci patience."
non-phishing,"dear customer, packag current transit arriv destin [estim deliveri date]. track progress websit click link [track link]. thank choos sf express."
non-phishing,"hi there, sf express. notic packag damag transit cannot deliv current state. initi claim touch instructions. thank understanding."
non-phishing,"hello, sf express. packag success deliv recipient. thank choos sf express ship needs."
non-phishing,"covid-19 update: pleas rememb wear mask, practic social distancing, wash hand frequently. experi symptom fever, cough, difficulti breathing, seek medic attent immediately. stay safe stay healthy."
non-phishing,"contact someon test posit covid-19. pleas self-quarantin 14 day monitor symptoms. experi symptoms, get test immediately."
non-phishing,thank get vaccin covid-19 rememb continu wear mask practic social distanc peopl vaccin pandem control.
non-phishing,covid-19 test avail [location] [date]. pleas regist time slot bring id insur information. test free uninsur individuals.
non-phishing,"covid-19 case rise area. pleas avoid larg gatherings, wear mask public, wash hand frequently. let' part keep commun safe."
non-phishing,cv vaccine: we'r confirm covid-19 vaccin appointment. manag appointment: https://www.org.hk
non-phishing,"cv vaccine: 1st covid-19 vaccin dose 04/05/2021 12:15 pm mdt. sick, fever, exposed?"
non-phishing,"hospit administration: rel regist phone number undergo compulsori quarantin incomplet compulsori test day outpati period, pleas arrang rel friend go call clinic chang outpati date supplement drugs. repli relev servic arrangements, pleas visit websit join hand fight epidem - 2019 coronaviru diseas https://www.ha.org.hk/covid/sopc"
non-phishing,"hospit authority: rel regist phone number made appoint radiological/nuclear medic examin three day later. compulsori quarantin accept compulsori test complet day inspection, pleas call depart chang date. repli"
non-phishing,"[fraud warning] polic receiv nearli 28,000 fraud case last year, increas 45% 2021, involv total amount 4.8 billion yuan! mobil version fraud trap searcher anti-fraud app launched. pleas go app store googl play download now! doubts, enter suspici platform account name number, collect account number, phone number, email address, websit inform app immedi assess secur risks. citizen also call anti-fraud easi 18222 hotlin inquire."
non-phishing,"hsbc: download new user hsbc reward+ first time. log turn notif function, receiv exclus credit card promot discount information, enjoy $20 reward money! preferenti period februari 19, 2023. subject term conditions. query/cancel 27488033"
non-phishing,"hsbc: daili limit cash withdraw loan credit card automat teller machin increas maximum hk$20,000. need appli enjoy interest-fre repay period 56 days, withdraw cash anytim anywher meet variou needs. subject term conditions. sure want borrow it? borrow first! query/cancel 2748 8033"
non-phishing,"hsbc: one-stop trade platform 3 major markets. hsbc trade25, new stock trade programme, available! enjoy $0 commiss trade invest hk, us china shares. open invest account hsbc hk app first, download hsbc hk easi invest app join trade25. visit hsbc trade25 public websit learn more. invest involv risk. avail age 18-25 invest account. condit apply. en/un 2233 3000"
non-phishing,"hsbc: on, enjoy low 40% meisushi cuisin restaurant, get hk$300 dinner cash coupon sign hk$600 dinner. book now! distribut date cash coupon juli 31, 2021; low 60% discount septemb 30, 2021. subject terms. sure want borrow it? borrow first! query/cancel 22333000"
non-phishing,[nikehk] nike membership verif code 036351. pleas note verif code valid 5 minutes.
non-phishing,8337 atom verif code. code valid 5 minutes.
non-phishing,"tap & go: success regist govern voucher plan tap & go (prepaid payment tool licens number: svf0002), get csl/1o1o 5g 300gb local mobil data 90 day free. subject term conditions. learn more: bit.ly/3qs4hav. find/cancel 28880000"
non-phishing,"tap & go servic notification: you’v forgotten tap & go account password, visit tap & go website, click “menu”, click “reset pin” follow instruct reset password."
non-phishing,"verif code 8385, valid time 3 minutes. pleas use verif code complet point membership registration."
non-phishing,"bank china hong kong bochk: highli valuabl beij 2022 winter olymp commemor banknot accept subscript applications. conveni fast subscrib bank china hong kong commemor bank website; addition, also submit applic form branch. subscript applic period: decemb 1 10. details, pleas visit commemor banknot webpage. subject terms, check en/cancel un39881818"
non-phishing,one-tim password najafd. pleas use otp verifi fwd eservic account.
non-phishing,use 016508 two-factor verif facebook.
non-phishing,"thank appli bank china credit card. applic requir addit documents/inform approval. details, pleas refer supplementari document notif letter/email sent you. submitted, need pay attent message. find 28538828"
non-phishing,"verif code 752613.the code expir 5 minutes, pleas complet verif code expires."
